year, latitude, longitude, cause of death, fatalities
1991, , , Diabetes mellitus, 2309 
1991, , , Homicide, 1447 
1991, , , Nephritis, 1348 
1991, , , Cirrhosis of liver, 1345 
1991, , , Suicide, 1178 
1991, , , Septicemia, 1091 
1991, , , All Causes, 383 
1991, , , Unintentional injuries, 148 
1991, , , Unintentional injuries: motor vehicle, 33 
1991, , , Unintentional injuries: all other, 115 
1991, , , Congenital anomalies, 46 
1991, , , Malignant neoplasms, 26 
1991, , , Homicide, 22 
1991, , , Heart disease, 22 
1991, , , Pneumonia and influenza, 18 
1991, , , Certain conditions originating in the perinatal period, 7 
1991, , , Infantile cerebral palsy, 7 
1991, , , Chronic obstructive pulmonary diseases and allied conditions, 6 
1991, , , Meningitis, 6 
1991, , , All Causes, 408 
1991, , , Unintentional injuries, 156 
1991, , , Unintentional injuries: motor vehicle, 73 
1991, , , Unintentional injuries: all other, 83 
1991, , , Malignant neoplasms, 54 
1991, , , Homicide, 39 
1991, , , Heart disease, 23 
1991, , , Congenital anomalies, 18 
1991, , , Infantile cerebral palsy, 16 
1991, , , Suicide, 13 
1991, , , Cerebrovascular disease, 8 
1991, , , Chronic obstructive pulmonary diseases and other allied conditions, 7 
1991, , , HIV infection, 4 
1991, , , All Causes, 1748 
1991, , , Unintentional injuries, 625 
1991, , , Unintentional injuries: motor vehicle, 434 
1991, , , Unintentional injuries: all other, 191 
1991, , , Homicide, 509 
1991, , , Suicide, 211 
1991, , , Malignant neoplasms, 71 
1991, , , Heart disease, 67 
1991, , , Congenital anomalies, 25 
1991, , , HIV infection, 21 
1991, , , Pneumonia and influenza, 20 
1991, , , Chronic obstructive pulmonary diseases and other allied conditions, 16 
1991, , , Injuries undetermined origin whether accidentally or purposely inflicted, 12 
1991, , , Cerebrovascular disease, 12 
1991, , , All Causes, 6735 
1991, , , Unintentional injuries, 1182 
1991, , , Unintentional injuries: motor vehicle, 579 
1991, , , Unintentional injuries: all other, 603 
1991, , , Malignant neoplasms, 1009 
1991, , , Heart disease, 866 
1991, , , HIV infection, 798 
1991, , , Homicide, 630 
1991, , , Suicide, 447 
1991, , , Chronic liver disease and cirrhosis, 326 
1991, , , Cerebrovascular disease, 164 
1991, , , Pneumonia and influenza, 133 
1991, , , Diabetes mellitus, 114 
1991, , , All Causes, 17462 
1991, , , Malignant neoplasms, 6384 
1991, , , Heart disease, 5179 
1991, , , Cerebrovascular disease, 694 
1991, , , Unintentional injuries, 563 
1991, , , Unintentional injuries: motor vehicle, 260 
1991, , , Unintentional injuries: all other, 303 
1991, , , Chronic obstructive pulmonary diseases and other allied conditions, 552 
1991, , , Chronic liver disease and cirrhosis, 547 
1991, , , Diabetes mellitus, 470 
1991, , , Pneumonia and Influenza, 295 
1991, , , Suicide, 267 
1991, , , HIV infection, 202 
1991, , , All Causes, 75067 
1991, , , Heart disease, 29375 
1991, , , Malignant neoplasms, 16842 
1991, , , Cerebrovascular disease, 5995 
1991, , , Pneumonia and influenza, 3427 
1991, , , Chronic obstructive pulmonary disease, 3267 
1991, , , Diabetes mellitus, 1713 
1991, , , Nephritis, 1142 
1991, , , Unintentional injuries, 1003 
1991, , , Unintentional injuries: motor vehicle, 273 
1991, , , Unintentional injuries: all other, 730 
1991, , , Septicemia, 881 
1991, , , Alzheimer's disease, 697 
1992, , , All Causes, 101861 
1992, , , Heart disease, 34293 
1992, , , Malignant neoplasms, 24616 
1992, , , Cerebrovascular disease, 6886 
1992, , , Chronic obstructive pulmonary diseases and allied conditions, 3850 
1992, , , Pneumonia and influenza, 3596 
1992, , , Unintentional injuries, 3400 
1992, , , Unintentional injuries: motor vehicle, 1520 
1992, , , Unintentional injuries: all other, 1880 
1992, , , Diabetes mellitus, 2366 
1992, , , Homicide, 1435 
1992, , , Nephritis, 1390 
1992, , , Cirrhosis of liver, 1256 
1992, , , HIV infection, 1212 
1992, , , Suicide, 1126 
1992, , , All Causes, 311 
1992, , , Unintentional injuries, 103 
1992, , , Unintentional injuries: motor vehicle, 24 
1992, , , Unintentional injuries: all other, 79 
1992, , , Congenital anomalies, 44 
1992, , , Homicide, 29 
1992, , , Malignant neoplasms, 22 
1992, , , Heart disease, 17 
1992, , , Pneumonia and influenza, 12 
1992, , , Certain conditions originating in the perinatal period, 4 
1992, , , Benign neoplasms, 4 
1992, , , Infantile cerebral palsy, 3 
1992, , , Chronic obstructive pulmonary diseases and allied conditions, 3 
1992, , , All Causes, 372 
1992, , , Unintentional injuries, 118 
1992, , , Unintentional injuries: motor vehicle, 58 
1992, , , Unintentional injuries: all other, 60 
1992, , , Malignant neoplasms, 63 
1992, , , Homicide, 44 
1992, , , Congenital anomalies, 19 
1992, , , Infantile cerebral palsy, 15 
1992, , , Suicide, 13 
1992, , , Heart disease, 11 
1992, , , Chronic obstructive pulmonary diseases and other allied conditions, 11 
1992, , , Benign neoplasms, 7 
1992, , , Pneumonia and influenza, 6 
1992, , , All Causes, 1642 
1992, , , Homicide, 539 
1992, , , Unintentional injury, 535 
1992, , , Unintentional injuries: motor vehicle, 392 
1992, , , Unintentional injuries: all other, 143 
1992, , , Suicide, 165 
1992, , , Malignant neoplasms, 73 
1992, , , Heart disease, 61 
1992, , , Congenital anomalies, 23 
1992, , , HIV infection, 23 
1992, , , Injuries undetermined origin whether accidentally or purposely inflicted, 21 
1992, , , Chronic obstructive pulmonary diseases and other allied conditions, 15 
1992, , , Muscular dystrophy, 12 
1992, , , All Causes, 6700 
1992, , , Unintentional injuries, 1133 
1992, , , Unintentional injuries: motor vehicle, 531 
1992, , , Unintentional injuries: all other, 602 
1992, , , Malignant neoplasms, 1012 
1992, , , HIV infection, 898 
1992, , , Heart disease, 792 
1992, , , Homicide, 602 
1992, , , Suicide, 458 
1992, , , Chronic liver disease and cirrhosis, 276 
1992, , , Cerebrovascular disease, 173 
1992, , , Pneumonia and influenza, 140 
1992, , , Diabetes mellitus, 98 
1992, , , All Causes, 17122 
1992, , , Malignant neoplasms, 6352 
1992, , , Heart disease, 5016 
1992, , , Cerebrovascular disease, 687 
1992, , , Unintentional injuries, 584 
1992, , , Unintentional injuries: motor vehicle, 257 
1992, , , Unintentional injuries: all other, 327 
1992, , , Chronic liver disease and cirrhosis, 496 
1992, , , Chronic obstructive pulmonary disease and other allied conditions, 487 
1992, , , Diabetes mellitus, 459 
1992, , , Pneumonia and influenza, 266 
1992, , , HIV infection, 260 
1992, , , Suicide, 256 
1992, , , All Causes, 73803 
1992, , , Heart disease, 28375 
1992, , , Malignant neoplasms, 17090 
1992, , , Cerebrovascular disease, 6004 
1992, , , Chronic obstructive pulmonary disease and other allied diseases, 3272 
1992, , , Pneumonia and influenza, 3127 
1992, , , Diabetes mellitus, 1800 
1992, , , Nephritis, 1169 
1992, , , Unintentional injuries, 884 
1992, , , Unintentional injuries: motor vehicle, 253 
1992, , , Unintentional injuries: all other, 631 
1992, , , Septicemia, 857 
1992, , , Alzheimer's disease, 587 
1993, , , All Causes, 106875 
1993, , , Heart disease, 35624 
1993, , , Malignant neoplasms, 25263 
1993, , , Cerebrovascular disease, 7291 
1993, , , Chronic obstructive pulmonary diseases and other allied conditions, 4312 
1993, , , Pneumonia and influenza, 4021 
1993, , , Unintentional injuries, 3717 
1993, , , Unintentional injuries: motor vehicle, 1558 
1993, , , Unintentional injuries: all other, 2159 
1993, , , Diabetes mellitus, 2474 
1993, , , Nephritis, 1483 
1993, , , HIV infection, 1439 
1993, , , Homicide, 1435 
1993, , , Cirrhosis of liver, 1250 
1993, , , Suicide, 1149 
1993, , , All Causes, 301 
1993, , , Unintentional injuries, 87 
1993, , , Unintentional injuries: motor vehicle, 24 
1993, , , Unintentional injuries: all other, 63 
1993, , , Malignant neoplasms, 35 
1993, , , Congenital anomalies, 34 
1993, , , Homicide, 26 
1993, , , Heart disease, 11 
1993, , , Pneumonia and influenza, 11 
1993, , , Infantile cerebral palsy, 10 
1993, , , Certain conditions originating in the perinatal period, 6 
1993, , , Chronic obstructive pulmonary diseases and allied conditions, 5 
1993, , , Septicemia, 5 
1993, , , All Causes, 400 
1993, , , Unintentional injuries, 137 
1993, , , Unintentional injuries: motor vehicle, 67 
1993, , , Unintentional injuries: all other, 70 
1993, , , Malignant neoplasms, 52 
1993, , , Homicide, 47 
1993, , , Congenital anomalies, 19 
1993, , , Heart disease, 16 
1993, , , Chronic obstructive pulmonary diseases and other allied conditions, 14 
1993, , , Suicide, 12 
1993, , , Infantile cerebral palsy, 11 
1993, , , Pneumonia and influenza, 7 
1993, , , Anemias, 6 
1993, , , Cerebrovascular, 6 
1993, , , All Causes, 1741 
1993, , , Unintentional injuries, 578 
1993, , , Unintentional injuries: motor vehicle, 403 
1993, , , Unintentional injuries: all other, 175 
1993, , , Homicide, 560 
1993, , , Suicide, 167 
1993, , , Malignant neoplasms, 79 
1993, , , Heart disease, 71 
1993, , , HIV infection, 29 
1993, , , Injuries undetermined origin whether accidentally or purposely inflicted, 28 
1993, , , Congenital anomalies, 26 
1993, , , Chronic obstructive pulmonary diseases and other allied conditions, 19 
1993, , , Pneumonia and influenza, 16 
1993, , , All Causes, 7054 
1993, , , Unintentional injuries, 1250 
1993, , , Unintentional injuries: motor vehicle, 535 
1993, , , Unintentional injuries: all other, 715 
1993, , , Malignant neoplasms, 1054 
1993, , , HIV infection, 1047 
1993, , , Heart disease, 851 
1993, , , Homicide, 576 
1993, , , Suicide, 464 
1993, , , Chronic liver disease and cirrhosis, 268 
1993, , , Cerebrovascular disease, 169 
1993, , , Pneumonia and influenza, 136 
1993, , , Diabetes mellitus, 110 
1993, , , All Causes, 17425 
1993, , , Malignant neoplasms, 6405 
1993, , , Heart disease, 5075 
1993, , , Cerebrovascular disease, 689 
1993, , , Unintentional injuries, 609 
1993, , , Unintentional injuries: motor vehicle, 258 
1993, , , Unintentional injuries: all other, 351 
1993, , , Chronic obstructive pulmonary diseases and other allied conditions, 592 
1993, , , Diabetes mellitus, 497 
1993, , , Chronic liver disease and cirrhosis, 450 
1993, , , HIV infection, 326 
1993, , , Suicide, 277 
1993, , , Pneumonia and influenza, 252 
1993, , , All Causes, 78116 
1993, , , Heart disease, 29571 
1993, , , Malignant neoplasms, 17629 
1993, , , Cerebrovascular disease, 6408 
1993, , , Chronic obstructive pulmonary diseases and other allied conditions, 3607 
1993, , , Pneumonia and influenza, 3576 
1993, , , Diabetes mellitus, 1862 
1993, , , Nephritis, 1247 
1993, , , Unintentional injuries, 999 
1993, , , Unintentional injuries: motor vehicle, 737 
1993, , , Unintentional injuries: all other, 262 
1993, , , Septicemia, 922 
1993, , , Alzheimer's disease, 967 
1994, , , All Causes, 106911 
1994, , , Heart disease, 35140 
1994, , , Malignant neoplasms, 25091 
1994, , , Cerebrovascular disease, 7437 
1994, , , Chronic obstructive pulmonary diseases and other allied conditions, 4320 
1994, , , Unintentional injuries, 4022 
1994, , , Unintentional injuries: motor vehicle, 1742 
1994, , , Unintentional injuries: all other, 2280 
1994, , , Pneumonia and influenza, 3917 
1994, , , Diabetes mellitus, 2544 
1994, , , HIV infection, 1482 
1994, , , Homicide, 1478 
1994, , , Nephritis, 1445 
1994, , , Septicemia, 1223 
1994, , , Chronic liver disease & cirrhosis, 1217 
1994, , , All Causes, 355 
1994, , , Unintentional injuries, 123 
1994, , , Unintentional injuries: motor vehicle, 29 
1994, , , Unintentional injuries: all other, 94 
1994, , , Congenital anomalies, 34 
1994, , , Malignant neoplasms, 32 
1994, , , Homicide, 22 
1994, , , Heart disease, 18 
1994, , , Pneumonia and influenza, 15 
1994, , , Certain conditions originating in the perinatal period, 10 
1994, , , Septicemia, 9 
1994, , , Infantile cerebral palsy, 8 
1994, , , HIV infection, 7 
1994, , , All Causes, 413 
1994, , , Unintentional injuries, 172 
1994, , , Unintentional injuries: motor vehicle, 95 
1994, , , Unintentional injuries: all other, 77 
1994, , , Homicide, 52 
1994, , , Malignant neoplasms, 35 
1994, , , Heart disease, 20 
1994, , , Congenital anomalies, 18 
1994, , , Infantile cerebral palsy, 13 
1994, , , Chronic obstructive pulmonary diseases and other allied conditions, 11 
1994, , , HIV infection, 7 
1994, , , Suicide, 6 
1994, , , Pneumonia and influenza, 5 
1994, , , All Causes, 1796 
1994, , , Unintentional injuries, 626 
1994, , , Unintentional injuries: motor vehicle, 480 
1994, , , Unintentional injuries: all other, 146 
1994, , , Homicide, 609 
1994, , , Suicide, 171 
1994, , , Malignant neoplasms, 64 
1994, , , Heart disease, 53 
1994, , , Chronic obstructive pulmonary diseases and other allied conditions, 24 
1994, , , HIV infection, 21 
1994, , , Undetermined origin, 20 
1994, , , Pneumonia and influenza, 18 
1994, , , Congenital anomalies, 17 
1994, , , All Causes, 7102 
1994, , , Unintentional injuries, 1292 
1994, , , Unintentional injuries: motor vehicle, 561 
1994, , , Unintentional injuries: all other, 731 
1994, , , Malignant neoplasms, 1097 
1994, , , Heart disease, 987 
1994, , , HIV infection, 823 
1994, , , Homicide, 599 
1994, , , Suicide, 434 
1994, , , Chronic liver disease and cirrhosis, 267 
1994, , , Cerebrovascular disease, 179 
1994, , , Pneumonia and influenza, 117 
1994, , , Diabetes mellitus, 114 
1994, , , All Causes, 17524 
1994, , , Malignant neoplasms, 6314 
1994, , , Heart disease, 5059 
1994, , , Cerebrovascular disease, 765 
1994, , , Unintentional injuries, 647 
1994, , , Unintentional injuries: motor vehicle, 278 
1994, , , Unintentional injuries: all other, 369 
1994, , , Chronic obstructive pulmonary diseases and other allied conditions, 548 
1994, , , Diabetes mellitus, 545 
1994, , , Chronic liver disease and cirrhosis, 469 
1994, , , HIV infection, 317 
1994, , , Pneumonia and influenza, 305 
1994, , , Suicide, 234 
1994, , , All Causes, 78010 
1994, , , Heart disease, 29137 
1994, , , Malignant neoplasms, 17657 
1994, , , Cerebrovascular disease, 6479 
1994, , , Chronic obstructive pulmonary diseases and other allied conditions, 3637 
1994, , , Pneumonia and influenza, 3431 
1994, , , Diabetes mellitus, 1870 
1994, , , Nephritis, 1217 
1994, , , Unintentional injuries, 1119 
1994, , , Unintentional injuries: motor vehicle, 294 
1994, , , Unintentional injuries: all other, 825 
1994, , , Septicemia, 967 
1994, , , Alzheimer's disease, 925 
1995, , , All Causes, 108089 
1995, , , Heart disease, 35819 
1995, , , Malignant neoplasms, 25015 
1995, , , Cerebrovascular disease, 7511 
1995, , , Chronic obstructive pulmonary diseases and other allied conditions, 4482 
1995, , , Unintentional injuries, 4037 
1995, , , Unintentional injuries: motor vehicle, 1766 
1995, , , Unintentional injuries: all other, 2271 
1995, , , Pneumonia and influenza, 3887 
1995, , , Diabetes mellitus, 2655 
1995, , , Nephritis, 1569 
1995, , , HIV infection, 1494 
1995, , , Homicide, 1323 
1995, , , Septicemia, 1239 
1995, , , Chronic liver disease & cirrhosis, 1183 
1995, , , All Causes, 331 
1995, , , Unintentional injuries, 112 
1995, , , Unintentional injuries: motor vehicle, 42 
1995, , , Unintentional injuries: all other, 70 
1995, , , Congenital anomalies, 35 
1995, , , Homicide, 29 
1995, , , Malignant neoplasms, 23 
1995, , , Heart disease, 18 
1995, , , Pneumonia and influenza, 8 
1995, , , Infantile cerebral palsy, 8 
1995, , , Septicemia, 7 
1995, , , Meningitis, 5 
1995, , , Certain conditions originating in the perinatal period, 4 
1995, , , All Causes, 398 
1995, , , Unintentional injuries, 150 
1995, , , Unintentional injuries: motor vehicle, 87 
1995, , , Unintentional injuries: all other, 63 
1995, , , Homicide, 49 
1995, , , Malignant neoplasms, 44 
1995, , , Heart disease, 18 
1995, , , Congenital anomalies, 17 
1995, , , Infantile cerebral palsy, 12 
1995, , , Benign neoplasms, 10 
1995, , , Suicide, 9 
1995, , , Muscular dystrophy, 7 
1995, , , Undetermined origins, 6 
1995, , , Chronic obstructivepulmonary diseases and other allied conditions, 6 
1995, , , All Causes, 1643 
1995, , , Unintentional injuries, 581 
1995, , , Unintentional injuries: motor vehicle, 451 
1995, , , Unintentional injuries: all other, 130 
1995, , , Homicide, 514 
1995, , , Suicide, 187 
1995, , , Malignant neoplasms, 57 
1995, , , Heart disease, 50 
1995, , , Congenital anomalies, 24 
1995, , , Pneumonia and influenza, 15 
1995, , , HIV infection, 15 
1995, , , Chronic obstructive pulmonary diseases and other allied conditions, 15 
1995, , , All Causes, 6940 
1995, , , Unintentional injuries, 1253 
1995, , , Unintentional injuries: motor vehicle, 580 
1995, , , Unintentional injuries: all other, 673 
1995, , , HIV infection, 1072 
1995, , , Malignant neoplasms, 1010 
1995, , , Heart disease, 859 
1995, , , Homicide, 529 
1995, , , Suicide, 442 
1995, , , Chronic liver disease and cirrhosis, 251 
1995, , , Cerebrovascular disease, 168 
1995, , , Pneumonia and influenza, 127 
1995, , , Diabetes mellitus, 115 
1995, , , All Causes, 17159 
1995, , , Malignant neoplasms, 6051 
1995, , , Heart disease, 5027 
1995, , , Unintentional injuries, 688 
1995, , , Unintentional injuries: motor vehicle, 270 
1995, , , Unintentional injuries: all other, 418 
1995, , , Cerebrovascular disease, 659 
1995, , , Chronic obstructive pulmonary diseases and other allied conditions, 567 
1995, , , Diabetes mellitus, 523 
1995, , , Chronic liver disease and cirrhosis, 449 
1995, , , HIV infection, 364 
1995, , , Pneumonia and influenza, 275 
1995, , , Suicide, 261 
1995, , , All Causes, 79894 
1995, , , Heart disease, 29814 
1995, , , Malignant neoplasms, 17828 
1995, , , Cerebrovascular disease, 6651 
1995, , , Chronic obstructive pulmonary diseases and other allied conditions, 3811 
1995, , , Pneumonia and influenza, 3426 
1995, , , Diabetes mellitus, 2003 
1995, , , Nephritis, 1342 
1995, , , Unintentional injuries, 1194 
1995, , , Unintentional injuries: motor vehicle, 330 
1995, , , Unintentional injuries: all other, 864 
1995, , , Alzheimer's disease, 1030 
1995, , , Septicemia, 985 
1996, , , All Causes, 105701 
1996, , , Heart disease, 34271 
1996, , , Malignant neoplasms, 24693 
1996, , , Cerebrovascular disease, 7446 
1996, , , Chronic obstructive pulmonary diseases and other allied conditions, 4427 
1996, , , Pneumonia and influenza, 3998 
1996, , , Unintentional injuries, 3762 
1996, , , Unintentional injuries: motor vehicle, 1679 
1996, , , Unintentional injuries: all other, 2083 
1996, , , Diabetes mellitus, 2661 
1996, , , Nephritis, 1609 
1996, , , Septicemia, 1326 
1996, , , Homicide, 1301 
1996, , , Chronic liver disease & cirrhosis, 1186 
1996, , , Alzheimer's disease, 1151 
1996, , , All Causes, 279 
1996, , , Unintentional injuries, 92 
1996, , , Unintentional injuries: motor vehicle, 34 
1996, , , Unintentional injuries: all other, 58 
1996, , , Congenital anomalies, 28 
1996, , , Homicide, 21 
1996, , , Malignant neoplasms, 17 
1996, , , Heart disease, 16 
1996, , , Pneumonia and influenza, 15 
1996, , , Septicemia, 7 
1996, , , Certain conditions originating in the perinatal period, 6 
1996, , , Benign neoplasms, 5 
1996, , , Infantile cerebral palsy, 5 
1996, , , All Causes, 367 
1996, , , Unintentional injuries, 135 
1996, , , Unintentional injuries: motor vehicle, 80 
1996, , , Unintentional injuries: all other, 55 
1996, , , Malignant neoplasms, 42 
1996, , , Homicide, 32 
1996, , , Congenital anomalies, 25 
1996, , , Heart disease, 13 
1996, , , Infantile cerebral palsy, 13 
1996, , , Suicide, 8 
1996, , , Anemia, 6 
1996, , , Chronic obstructive pulmonary diseases and otehr allied conditions, 6 
1996, , , Cerebrovascular disease, 5 
1996, , , Pneumonia and influenza, 5 
1996, , , All Causes, 1563 
1996, , , Homicide, 553 
1996, , , Unintentional injuries, 526 
1996, , , Unintentional injuries: motor vehicle, 400 
1996, , , Unintentional injuries: all other, 126 
1996, , , Suicide, 135 
1996, , , Malignant neoplasms, 64 
1996, , , Heart disease, 50 
1996, , , Chronic obstructive pulmonary diseases and other allied conditions, 25 
1996, , , Undetermined origin, 17 
1996, , , Pneumonia and influenza, 17 
1996, , , HIV infection, 15 
1996, , , Congenital anomalies, 13 
1996, , , All Causes, 6430 
1996, , , Unintentional injuries, 1111 
1996, , , Unintentional injuries: motor vehicle, 527 
1996, , , Unintentional injuries: all other, 584 
1996, , , Malignant neoplasms, 943 
1996, , , Heart disease, 850 
1996, , , HIV infection, 836 
1996, , , Homicide, 487 
1996, , , Suicide, 458 
1996, , , Chronic liver disease and cirrhosis, 266 
1996, , , Cerebrovascular disease, 173 
1996, , , Pneumonia and influenza, 110 
1996, , , Diabetes mellitus, 109 
1996, , , All Causes, 17181 
1996, , , Malignant neoplasms, 6112 
1996, , , Heart disease, 4878 
1996, , , Unintentional injuries, 719 
1996, , , Unintentional injuries: motor vehicle, 332 
1996, , , Unintentional injuries: all other, 387 
1996, , , Cerebrovascular disease, 695 
1996, , , Chronic obstructive pulmonary diseases and other allied conditions, 546 
1996, , , Diabetes mellitus, 519 
1996, , , Chronic liver disease and cirrhosis, 423 
1996, , , Pneumonia and Influenza, 319 
1996, , , HIV infection, 313 
1996, , , Suicide, 289 
1996, , , All Causes, 78345 
1996, , , Heart disease, 28440 
1996, , , Malignant neoplasms, 17511 
1996, , , Cerebrovascular disease, 6560 
1996, , , Chronic obstructive pulmonary diseases and other allied conditions, 3770 
1996, , , Pneumonia and influenza, 3506 
1996, , , Diabetes mellitus, 2028 
1996, , , Nephritis, 1372 
1996, , , Unintentional injuries, 1135 
1996, , , Unintentional injuries: motor vehicle, 297 
1996, , , Unintentional injuries: all other, 838 
1996, , , Septicemia, 1065 
1996, , , Alzheimer's disease, 1052 
1997, , , All Causes, 102404 
1997, , , Heart disease, 32616 
1997, , , Malignant neoplasms, 24408 
1997, , , Cerebrovascular disease, 7344 
1997, , , Chronic obstructive pulmonary diseases and other allied conditions, 4308 
1997, , , Pneumonia and influenza, 3779 
1997, , , Unintentional injury, 3646 
1997, , , Unintentional injuries: motor vehicle, 1553 
1997, , , Unintentional injuries: all other, 2093 
1997, , , Diabetes mellitus, 2664 
1997, , , Nephritis, 1593 
1997, , , Septicemia, 1315 
1997, , , Homicide, 1205 
1997, , , Chronic liver disease & cirrhosis, 1108 
1997, , , Alzheimer's disease, 1059 
1997, , , Suicide, 1010 
1997, , , Aortic aneurism, 757 
1997, , , Certain perinatal conditions, 738 
1997, , , Atherosclerosis, 652 
1997, , , HIV infection, 569 
1997, , , Hypertension with or without renal disease, 524 
1997, , , Congenital anomalies, 464 
1997, , , All Causes, 216 
1997, , , Unintentional injury, 68 
1997, , , Unintentional injuries: motor vehicle, 15 
1997, , , Unintentional injuries: all other, 53 
1997, , , Congenital anomalies, 26 
1997, , , Homicide, 20 
1997, , , Malignant neoplasms, 20 
1997, , , All Causes, 341 
1997, , , Unintentional injuries, 129 
1997, , , Unintentional injuries: motor vehicle, 66 
1997, , , Unintentional injuries: all other, 63 
1997, , , Malignant neoplasms, 35 
1997, , , Homicide, 28 
1997, , , Congenital anomalies, 16 
1997, , , Heart disease, 15 
1997, , , All Causes, 1563 
1997, , , Unintentional injury, 515 
1997, , , Unintentional injuries: motor vehicle, 388 
1997, , , Unintentional injuries: all other, 127 
1997, , , Homicide, 502 
1997, , , Suicide, 155 
1997, , , Malignant neoplasms, 88 
1997, , , Heart disease, 62 
1997, , , Congenital anomalies, 19 
1997, , , Injury of undetermined origin, 18 
1997, , , All Causes, 5876 
1997, , , Unintentional injury, 1162 
1997, , , Unintentional injuries: motor vehicle, 520 
1997, , , Unintentional injuries: all other, 642 
1997, , , Malignant neoplasms, 1032 
1997, , , Heart disease, 846 
1997, , , Homicide, 469 
1997, , , Suicide, 395 
1997, , , HIV infection, 378 
1997, , , Chronic liver disease and cirrhosis, 192 
1997, , , Cerebrovascular disease, 153 
1997, , , Diabetes mellitus, 98 
1997, , , Chronic obstructive pulmonary diseases and other allied conditions, 93 
1997, , , Pneumonia and influenza, 89 
1997, , , Septicemia, 63 
1997, , , Nephritis, 51 
1997, , , All Causes, 16594 
1997, , , Malignant neoplasms, 6043 
